actor_id,actor
90723,Kathryn Kirkpatrick
1445914,Fred Hoose
2714,Lance Henriksen
17342,Paul Adelstein
1170657,Amanda Warren
1489193,Darrell Lee-Izeard
1398494,Harrison Bieker
2651,Edward Binns
108562,Lisa Ann
110838,Chris Chappell
31007,John Capodice
55931,Stuart Charno
1336360,Sagar Radia
1637859,Tawnja Zahradka
1520268,Ruben Tejada
1670895,Mikiko Yano
27650,Emilio Doorgasingh
16612,Shaby Ben-Aroya
1786767,William Bornkessel
100062,Del Zamora
1264642,Michael Parle
1748190,Jami Philbrick
1340943,Jennifer Sparks
1173984,Olivia Cooke
508582,Miraj Grbic
23608,Colin Stinton
81104,Robert Parigi
22092,Frankie Avalon
16927,Gérard Depardieu
1234967,Rick Dees
88965,John Brandon
14577,Edith Atwater
1264249,Mary Dunworth
157976,Danny Weselis
1272862,Emma Tremblay
108986,Helen Westley
478,Jamie Bell
1352093,Stephanie Mace
1833905,Rebecca Santos
144578,Scott William Winters
1506485,Grace Gray
1174009,Venessia Valentino
996699,Brady Hender
1822021,Gracie Lawrence
97996,Walter James
1271125,Peter Sturgeon
71725,Jake Sandvig
3478,Pat Coombs
584927,Andrej Nahtigal
1691971,Richard Burden
58856,Tenzin Thuthob Tsarong
17737,Lucas Papaelias
92288,Laura Grady
1445606,Chris Swanson
1190206,Donatas Banionis
1573360,Hugh Westbourne
1572990,Randy D. Patman Jr.
166000,Robert Hitt
1470030,Caroline Bossi
80428,Hunter Ansley Wryn
42724,John Prosky
1064073,Cherry Gillespie
98714,Joel D. Wynkoop
1251369,Del Harris
1335017,Mike Epstein
1672662,Ash Winfield
1776382,John Munro Cameron
19400,Roy Roberts
18275,Suzanne Herrington
1661616,Joe Locarro
104004,Oleg Bernov
1405444,Alison Lintott
11335,Ian Watkin
1796520,David Brett
78433,Ryan Hansen
196686,Lori Stewart
1211676,Makhaola Ndebele
1739888,Alix Freihage
1411004,Chad Z. King
528334,Matthew Mindler
69196,Louise Grinberg
164494,Cornell Womack
14999,George A. Romero
1754151,Buddha Gonzalez
1435078,Tim Konrad
1025651,Drea Castro
17687,Mayra Serbulo
171719,Vincent Curatola
1672382,Lauren K. Solomon
1183824,Craig Van Hook
156146,Peter Trencher
127155,Ben Whitehead
1077059,Hilary Pingle
1407308,Trai Byers
63978,Jodi Benson
1583123,Mary Fortune
96585,Daniel Peacock
1385068,Shelby Lackman
1752786,Dennis Lupien
3663,Jerry Lewis
1132646,Isabella Blake-Thomas
1504761,Nigel Lawes
1019545,Derek Hough
937907,Emilie François
131125,Steve Monroe
1670892,Jimmy Lin
1612707,Sean O'Kane
115685,James Harper
5610,Tracey Maloney
1883096,Jason McDonald
42374,Nicki Aycox
592342,Bridgetta Tomarchio
32807,John Surman
968429,Abbie Cobb
167295,John Cygan
76093,Carmen Chaplin
209764,Connor Stanhope
19435,H.M. Wynant
1031791,Carlos Linares
59286,Laura Ortiz
25787,Ava Gardner
4757,Rupert Everett
60910,Frank Fontaine
1520271,Fiji
8828,Lillian Gish
13332,Thomas Heathcote
131423,Hans Marrero
62793,Rick Green
9631,Carel Struycken
1222806,Richard Kuss
1577043,Sheldon Feldner
1494289,Ralph Lister
1077877,Dan McMillan
1454098,Faye Yvette McQueen
1692428,Phill Curr
97919,Charles Craig
114925,Richard Dutcher
1473962,Kim Baptiste
1343542,Wayne Dean
198607,Diego Diablo Del Mar
1418368,Abhijit Buddhisagar
26471,Ron Kovic
1075145,Pedro Mojica
21874,Alan Young
1735595,Meilinda Cecilia Soerjoko
939983,Marten Lamont
37935,Steven Tyler
1620872,Zhang Zheng-Yong
555077,Reuben Guss
77917,Wendy Talley
91494,Enzo Cilenti
1799820,Jennifer Jaramillo Valkana
1383,Thomas Robins
61301,Timyra-Joi Beatty
36358,Ruth Hausmeister
585017,Franck Monier
150476,Naveen Kaushik
1683755,Thomas La Marche
1616735,Edward Brickley
65838,Jeremy Sumpter
13506,Willeke van Ammelrooy
583051,Diana Bang
1379225,Anthony Fridjhon
1784650,Kelly Keyser
124736,Ann Codee
101981,Robert Lott
1402470,Márton Brezina
130081,Robin Atkin Downes
71072,Nancy Baldwin
1748630,Sarah Hofmann
154094,Kamau Holloway
236851,Callan McAuliffe
1853220,Jim Blake
8840,Maxfield Stanley
1443295,Adrian Ochoa
1805972,Michiko Tsushima
1559700,Kathleen Fletcher
169642,Gabrielle Tuite
72992,Doug DeBeech
1174001,Eric Clark
35806,Shaquille O'Neal
13092,Jerry Mofokeng
1786817,Mark Hetherington
172053,Paul Romero
938785,Paul Malevich
1332244,Robert 'Duckie' Carpenter
1205135,Adam Greeves
1548521,Josh Margulies
1749173,Reade Kelly
1549740,Terry James
90369,Lane Chandler
53403,Orestes Matacena
1757777,Gian-Carlo Coppola
1600366,Paul Grayson
54696,Joe Nunez
1744141,Tommy Dallace
1530423,Kimberly S. Fairbanks
10917,Simon Abkarian
1717251,Andrew Haserlat
1167895,Franco Pistoni
35595,Scott Foley
1265427,Vanessia Valentino
1802120,Chad Williams
80432,Jessica Huang
1759932,Pokey Lafarge
139966,Shannon Hartman
127714,Matt Reeves
1396608,Eric Feliciano
1391324,Brent Phillip Henry
1543046,Elaine MacKenzie Ellis
1670886,Toshi Hayama
82507,Dick Durock
1661791,Kevin Trainor
1952,Jeffrey Weissman
1857285,Mika Ahrens
1557932,Adriana Diaz Chapa
20563,Alex Veadov
1435148,Somsak Sengvilai
1459108,Jerry Cox
55557,Michael DeLuise
41551,Bill Gerber
1275714,Alyssandra Yamamoto
572086,Yong Mei
1512188,David G. Baker
1558321,Charissa Shearer
1775879,Nicole Humphries
1585953,Dermot Brogan
1108690,Mercedes Manning
1708696,Neel Tolani
20480,Taylor Momsen
1306640,Chelsea O'Toole
63000,Bernard Kay
105499,Danny Blanco Hall
