movie_id,actor_id
19995,65731.0
19995,8691.0
19995,10205.0
19995,32747.0
19995,17647.0
285,85.0
285,114.0
285,116.0
285,1640.0
285,1619.0
206647,8784.0
206647,27319.0
206647,121529.0
206647,5469.0
206647,28782.0
49026,3894.0
49026,3895.0
49026,64.0
49026,1813.0
49026,2524.0
49529,60900.0
49529,21044.0
49529,2206.0
49529,5293.0
49529,19159.0
559,2219.0
559,205.0
559,17051.0
559,19159.0
559,17052.0
38757,69899.0
38757,16855.0
38757,2517.0
38757,2372.0
38757,22132.0
99861,3223.0
99861,74568.0
99861,103.0
99861,16828.0
99861,1245.0
767,10980.0
767,10989.0
767,10990.0
767,10993.0
767,5658.0
209112,880.0
209112,73968.0
209112,90633.0
209112,9273.0
209112,44735.0
1452,17271.0
1452,1979.0
1452,7517.0
1452,11006.0
1452,7489.0
10764,8784.0
10764,18182.0
10764,8789.0
10764,5309.0
10764,3753.0
58,85.0
58,114.0
58,116.0
58,1640.0
58,2440.0
57201,85.0
57201,53807.0
57201,886.0
57201,1283.0
57201,18473.0
49521,73968.0
49521,9273.0
49521,335.0
49521,1269.0
49521,2882.0
2454,25130.0
2454,5528.0
2454,5529.0
2454,5527.0
2454,5526.0
24428,3223.0
24428,16828.0
24428,103.0
24428,74568.0
24428,1245.0
1865,85.0
1865,955.0
1865,6972.0
1865,2449.0
1865,118.0
41154,2888.0
41154,2176.0
41154,16851.0
41154,72873.0
41154,7056.0
122917,7060.0
122917,1327.0
122917,30315.0
122917,25136.0
122917,95047.0
1930,37625.0
1930,54693.0
1930,7026.0
1930,5724.0
1930,55152.0
20662,934.0
20662,112.0
20662,2201.0
20662,227.0
20662,2983.0
57158,7060.0
57158,1327.0
57158,30315.0
57158,25136.0
57158,95047.0
2268,45589.0
2268,2227.0
2268,8784.0
2268,16431.0
2268,10912.0
254,3489.0
254,70851.0
254,3490.0
254,3491.0
254,3492.0
597,204.0
597,6193.0
597,3713.0
597,1954.0
597,8534.0
271110,16828.0
271110,3223.0
271110,1245.0
271110,60898.0
271110,53650.0
44833,60900.0
44833,28846.0
44833,131519.0
44833,131520.0
44833,13275.0
135397,73457.0
135397,18997.0
135397,76793.0
135397,7132.0
135397,1108907.0
37724,8784.0
37724,5309.0
37724,3810.0
37724,5469.0
37724,2038.0
558,2219.0
558,205.0
558,17051.0
558,658.0
558,18998.0
68721,3223.0
68721,12052.0
68721,1896.0
68721,529.0
68721,15556.0
12155,76070.0
12155,85.0
12155,1813.0
12155,1283.0
12155,1064.0
36668,6968.0
36668,4587.0
36668,1327.0
36668,2387.0
36668,10696.0
62211,7904.0
62211,1230.0
62211,884.0
62211,15735.0
62211,1271300.0
8373,10959.0
8373,19537.0
8373,19536.0
8373,11678.0
8373,8169.0
91314,13240.0
91314,2283.0
91314,7090.0
91314,61186.0
91314,1007683.0
68728,17051.0
68728,18973.0
68728,3293.0
68728,1812.0
68728,5367.0
102382,37625.0
102382,54693.0
102382,134.0
102382,122889.0
102382,55152.0
20526,9828.0
20526,1229.0
20526,59315.0
20526,2547.0
20526,60033.0
49013,887.0
49013,15897.0
49013,3895.0
49013,1246.0
49013,1241.0
44912,10859.0
44912,59175.0
44912,133.0
44912,504.0
44912,2983.0
10193,31.0
10193,12898.0
10193,13726.0
10193,3234.0
10193,2232.0
534,3894.0
534,65731.0
534,21028.0
534,56455.0
534,18997.0
168259,12835.0
168259,8167.0
168259,18918.0
168259,17647.0
168259,8169.0
72190,287.0
72190,175826.0
72190,1027850.0
72190,1186840.0
72190,18473.0
127585,6968.0
127585,5530.0
127585,17288.0
127585,72129.0
127585,4587.0
54138,62064.0
54138,17306.0
54138,8691.0
54138,1372.0
54138,11108.0
81005,3292.0
81005,73357.0
81005,3061.0
81005,2283.0
81005,6972.0
64682,6193.0
64682,2219.0
64682,36662.0
64682,33192.0
64682,1133349.0
9543,131.0
9543,59620.0
9543,2282.0
9543,658.0
9543,55412.0
